Term,Definition,Category,Example
Operating System,System software that manages computer hardware and software resources and provides common services for computer programs,Introduction,"Windows, Linux, macOS"
System Call,Interface the OS offers to applications to request services,Introduction,"fork(), exec(), open(), read()"
Bootstrap Program,Initial program loaded when computer starts; loads OS kernel,Introduction,BIOS loads bootloader which loads OS
Interrupt,Signal from hardware/software that causes CPU to save state and execute handler,Introduction,Device signals I/O completion
DMA (Direct Memory Access),Hardware mechanism allowing devices to transfer data directly to/from memory without CPU,Introduction,"Disk controller transfers data to memory, interrupts CPU when done"
Process,Program in execution with its own address space and resources,Processes,"Running web browser, text editor"
Process Control Block (PCB),Data structure containing all information needed to manage a process,Processes,"State, PC, registers, memory info"
Context Switch,Operation of switching CPU from one process to another,Processes,"Save current process state, load new process state"
Fork,System call that creates new child process as duplicate of parent,Processes,"Parent creates child with fork(), child gets PID 0"
Exec,System call that loads new program into current process, replacing current program,Processes,"execvp() loads /bin/ls into process"
Wait,System call that causes parent to wait for child process to terminate,Processes,"Parent calls wait() to get child exit status"
Thread,Lightweight process; flow of control within a process,Threads,"Multiple threads in web browser: UI, network, rendering"
User-Level Threads,Threads managed by user-level thread library,Threads,"POSIX Pthreads in user mode"
Kernel-Level Threads,Threads supported directly by kernel,Threads,"Windows threads, Linux threads"
Many-to-One Model,Many user threads mapped to single kernel thread,Threads,"One blocking thread blocks all"
One-to-One Model,Each user thread maps to kernel thread,Threads,"Better concurrency, more overhead"
Many-to-Many Model,Many user threads mapped to many kernel threads,Threads,"Flexible, good balance"
Amdahl's Law,Formula predicting speedup from parallelization,Threads,"Speedup = 1 / ((1-P) + P/N)"
Race Condition,When multiple processes access shared data and outcome depends on execution order,Synchronization,"Two processes increment counter simultaneously"
Critical Section,Code segment that accesses shared variables and must not execute concurrently,Synchronization,"Code that modifies shared buffer"
Mutual Exclusion,Ensuring only one process can be in critical section at a time,Synchronization,"Mutex lock prevents concurrent access"
Semaphore,Integer variable accessed only through atomic wait() and signal() operations,Synchronization,"Counting semaphore tracks available resources"
Binary Semaphore,Semaphore with value 0 or 1; same as mutex,Synchronization,"Protects single resource"
Counting Semaphore,Semaphore with unrestricted integer value,Synchronization,"Tracks multiple available resources"
Mutex Lock,Simplest synchronization tool; protects critical section,Synchronization,"pthread_mutex_lock() and unlock()"
Spinlock,Mutex lock that uses busy waiting,Synchronization,"CPU spins while waiting for lock"
Producer-Consumer Problem,Classic synchronization problem with bounded buffer,Synchronization,"Producers insert, consumers remove from shared buffer"
Readers-Writers Problem,Multiple readers can read simultaneously, only one writer at a time,Synchronization,"Database: many readers, exclusive writers"
Dining Philosophers Problem,Five philosophers need two forks to eat; deadlock prevention,Synchronization,"Classic deadlock scenario"
Monitor,High-level synchronization construct ensuring only one process active at a time,Synchronization,"Java synchronized methods"
Condition Variable,Used with monitors for waiting and signaling,Synchronization,"pthread_cond_wait(), pthread_cond_signal()"
